majors,links
"African Cultural Studies, B.A.",http://guide.wisc.edu/undergraduate/letters-science/african-cultural-studies/african-languages-literature-ba/
"African Cultural Studies, B.S.",http://guide.wisc.edu/undergraduate/letters-science/african-cultural-studies/african-languages-literature-bs/
"African Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/institute-regional-international-studies/african-studies-certificate/
"Afro-American Studies, B.A.",http://guide.wisc.edu/undergraduate/letters-science/afro-american-studies/afro-american-studies-ba/
"Afro-American Studies, B.S.",http://guide.wisc.edu/undergraduate/letters-science/afro-american-studies/afro-american-studies-bs/
"Afro-American Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/afro-american-studies/afro-american-studies-certificate/
"Agricultural and Applied Economics, B.S.",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/agricultural-applied-economics/agricultural-applied-economics-bs/
"Agricultural Business Management, B.S.",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/agricultural-applied-economics/agricultural-business-management-bs/
"Agronomy, B.S.",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/agronomy/agronomy-bs/
"American Indian Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/american-indian-studies/american-indian-studies-certificate/
"Animal Sciences, B.S.",https://guide.wisc.edu/undergraduate/agricultural-life-sciences/animal-dairy-sciences/animal-sciences-bs/
"Anthropology, B.A.",http://guide.wisc.edu/undergraduate/letters-science/anthropology/anthropology-ba/
"Anthropology, B.S.",http://guide.wisc.edu/undergraduate/letters-science/anthropology/anthropology-bs/
"Applied Mathematics, Engineering, and Physics, B.S. AMEP",http://guide.wisc.edu/undergraduate/letters-science/mathematics/applied-mathematics-engineering-physics-bs-amep/
"Archaeology, Certificate",http://guide.wisc.edu/undergraduate/letters-science/anthropology/archaeology-certificate/
"Art, B.S.",http://guide.wisc.edu/undergraduate/education/art/art-bs/
"Art, BFA",http://guide.wisc.edu/undergraduate/education/art/art-bfa/
"Art Education, B.S.",http://guide.wisc.edu/undergraduate/education/art/art-education-bs/
"Art History, B.A.",http://guide.wisc.edu/undergraduate/letters-science/art-history/art-history-ba/
"Art History, B.S.",http://guide.wisc.edu/undergraduate/letters-science/art-history/art-history-bs/
"Art History, Certificate",http://guide.wisc.edu/undergraduate/letters-science/art-history/art-history-certificate/
"Art Studio, Certificate",https://guide.wisc.edu/undergraduate/education/art/art-studio-certificate/
"Asian Languages and Cultures, B.A.",http://guide.wisc.edu/undergraduate/letters-science/asian-languages-cultures/asian-languages-cultures-ba/
"Asian Languages and Cultures, B.S.",http://guide.wisc.edu/undergraduate/letters-science/asian-languages-cultures/asian-languages-cultures-bs/
"Asian American Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/asian-american-studies/asian-american-studies-certificate/
"Asian Studies, B.A.",http://guide.wisc.edu/undergraduate/letters-science/institute-regional-international-studies/asian-studies-ba/
"Asian Studies, B.S.",http://guide.wisc.edu/undergraduate/letters-science/institute-regional-international-studies/asian-studies-bs/
"AstronomyPhysics, B.A.",http://guide.wisc.edu/undergraduate/letters-science/astronomy/astronomy-physics-ba/
"AstronomyPhysics, B.S.",http://guide.wisc.edu/undergraduate/letters-science/astronomy/astronomy-physics-bs/
"Athletic Training, B.S.",http://guide.wisc.edu/undergraduate/education/kinesiology/athletic-training-bs/
"Atmospheric and Oceanic Sciences, B.A.",http://guide.wisc.edu/undergraduate/letters-science/atmospheric-oceanic-sciences/atmospheric-oceanic-sciences-ba/
"Atmospheric and Oceanic Sciences, B.S.",http://guide.wisc.edu/undergraduate/letters-science/atmospheric-oceanic-sciences/atmospheric-oceanic-sciences-bs/
"Biochemistry, B.A. (L&S)",http://guide.wisc.edu/undergraduate/letters-science/biochemistry/biochemistry-ba/
"Biochemistry, B.S. (CALS)",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/biochemistry/biochemistry-bs/
"Biochemistry, B.S. (L&S)",http://guide.wisc.edu/undergraduate/letters-science/biochemistry/biochemistry-bs/
"Biological Systems Engineering, B.S.",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/biological-systems-engineering/biological-systems-engineering-bs/
"Biology, B.A. (L&S)",http://guide.wisc.edu/undergraduate/letters-science/integrative-biology/biology-ba/
"Biology, B.S. (CALS)",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/bacteriology/biology-bs/
"Biology, B.S. (L&S)",http://guide.wisc.edu/undergraduate/letters-science/integrative-biology/biology-bs/
"Biology Core Curriculum Honors, Certificate",http://guide.wisc.edu/undergraduate/letters-science/biology-core-curriculum/biology-core-curriculum-honors-certificate/
"Biology in Engineering for Engineering Majors, Certificate",http://guide.wisc.edu/undergraduate/engineering/biomedical-engineering/biology-engineering-engineering-majors-certificate/
"Biomedical Engineering, B.S.",http://guide.wisc.edu/undergraduate/engineering/biomedical-engineering/biomedical-engineering-bs/
"Botany, B.A.",http://guide.wisc.edu/undergraduate/letters-science/botany/botany-ba/
"Botany, B.S.",http://guide.wisc.edu/undergraduate/letters-science/botany/botany-bs/
"Business: Accounting, BBA",http://guide.wisc.edu/undergraduate/business/accounting-information-systems/business-accounting-bba/
"Business: Actuarial Science, BBA",http://guide.wisc.edu/undergraduate/business/risk-insurance/business-actuarial-science-bba/
"Business, Certificate",http://guide.wisc.edu/undergraduate/business/school-wide/business-certificate/
"Business: Finance, Investment, and Banking, BBA",http://guide.wisc.edu/undergraduate/business/finance/business-finance-investment-banking-bba/
"Business: Information Systems, BBA",http://guide.wisc.edu/undergraduate/business/operations-information-management/business-information-systems-bba/
"Business: International Business, BBA",http://guide.wisc.edu/undergraduate/business/international-business/business-international-business-bba/
"Business: Management and Human Resources, BBA",https://guide.wisc.edu/undergraduate/business/management-human-resources/business-management-human-resources-bba/business-management-human-resources-entrepreneurship-human-resources-bba/
"Business Management for Agricultural and Life Sciences, Certificate",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/agricultural-applied-economics/business-management-agricultural-life-sciences-certificate/
"Business: Marketing, BBA",http://guide.wisc.edu/undergraduate/business/marketing/business-marketing-bba/
"Business: Operations and Technology Management, BBA",http://guide.wisc.edu/undergraduate/business/operations-information-management/business-operations-technology-management-bba/
"Business: Real Estate and Urban Land Economics, BBA",http://guide.wisc.edu/undergraduate/business/real-estate-urban-land-economics/business-real-estate-urban-land-economics-bba/
"Business: Risk Management and Insurance, BBA",http://guide.wisc.edu/undergraduate/business/risk-insurance/business-risk-management-insurance-bba/
"Cartography and Geographic Information Systems, B.A.",http://guide.wisc.edu/undergraduate/letters-science/geography/cartography-geographic-information-systems-ba/
"Cartography and Geographic Information Systems, B.S.",http://guide.wisc.edu/undergraduate/letters-science/geography/cartography-geographic-information-systems-bs/
"Chemical Engineering, B.S.",http://guide.wisc.edu/undergraduate/engineering/chemical-biological-engineering/chemical-engineering-bs/
"Chemistry, B.A.",http://guide.wisc.edu/undergraduate/letters-science/chemistry/chemistry-ba/
"Chemistry, B.S.",http://guide.wisc.edu/undergraduate/letters-science/chemistry/chemistry-bs/
"Chicana/o and Latina/o Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/chicana-chicano-latina-latino-studies/chicana-chicano-latina-latino-studies-certificate/
"Chinese, B.A.",http://guide.wisc.edu/undergraduate/letters-science/asian-languages-cultures/chinese-ba/
"Chinese, B.S.",http://guide.wisc.edu/undergraduate/letters-science/asian-languages-cultures/chinese-bs/
"Chinese, BSE",http://guide.wisc.edu/undergraduate/education/curriculum-instruction/chinese-bse/
"Chinese Professional Communication, Certificate",https://guide.wisc.edu/undergraduate/letters-science/asian-languages-cultures/chinese-professional-communication-certificate/
"Civil Engineering, B.S.",http://guide.wisc.edu/undergraduate/engineering/civil-environmental-engineering/civil-engineering-bs/
"Classical Humanities, B.A.",http://guide.wisc.edu/undergraduate/letters-science/classics-ancient-near-eastern-studies/classical-humanities-ba/
"Classical Humanities, B.S.",http://guide.wisc.edu/undergraduate/letters-science/classics-ancient-near-eastern-studies/classical-humanities-bs/
"Classical Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/classics-ancient-near-eastern-studies/classical-studies-certificate/
"Classics, B.A.",http://guide.wisc.edu/undergraduate/letters-science/classics-ancient-near-eastern-studies/classics-ba/
"Classics, B.S.",http://guide.wisc.edu/undergraduate/letters-science/classics-ancient-near-eastern-studies/classics-bs/
"Communication Arts, B.A.",http://guide.wisc.edu/undergraduate/letters-science/communication-arts/communication-arts-ba/
"Communication Arts, B.S.",http://guide.wisc.edu/undergraduate/letters-science/communication-arts/communication-arts-bs/
"Communication Sciences and Disorders, B.A.",http://guide.wisc.edu/undergraduate/letters-science/communication-sciences-disorders/communication-sciences-disorders-ba/
"Communication Sciences and Disorders, B.S.",http://guide.wisc.edu/undergraduate/letters-science/communication-sciences-disorders/communication-sciences-disorders-bs/
"Communication Sciences and Disorders, BSE",http://guide.wisc.edu/undergraduate/education/curriculum-instruction/communication-sciences-disorders-bse/
"Community and Environmental Sociology, B.S.",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/community-environmental-sociology/community-environmental-sociology-bs/
"Community and Nonprofit Leadership, B.S.",http://guide.wisc.edu/undergraduate/human-ecology/civil-society-community-studies/community-nonprofit-leadership-bs/
"Computer Engineering, B.S.",http://guide.wisc.edu/undergraduate/engineering/electrical-computer-engineering/computer-engineering-bs/
"Computer Sciences, B.A.",http://guide.wisc.edu/undergraduate/letters-science/computer-sciences/computer-sciences-ba/
"Computer Sciences, B.S.",http://guide.wisc.edu/undergraduate/letters-science/computer-sciences/computer-sciences-bs/
"Computer Sciences, Certificate",http://guide.wisc.edu/undergraduate/letters-science/computer-sciences/computer-sciences-certificate/
"Conservation Biology, B.A.",http://guide.wisc.edu/undergraduate/letters-science/botany/conservation-biology-ba/
